学号,姓名,电话,英语,数学,物理,计算机二级,行数
16891195,严明,19433991161,80,90,52,80,0
17186184,张军凡,19608087595,49,66,98,91,1
17985073,金默立,19755390454,53,57,89,90,2
17216473,郑诗,15971322774,97,91,53,86,3
17490113,施刚,10942244704,85,86,87,88,4
17982821,施默,17139943848,44,95,84,89,5
17534033,柏龙,17284194039,58,61,87,70,6
16763395,秦玲,14579259387,83,93,64,88,7
17734440,水龙立,16448535717,46,81,45,53,8
16680214,陶龙楠,10928129313,61,48,51,60,9
17421745,水默,14035789997,82,47,41,96,10
16949225,姜玲,15893898250,96,58,45,58,11
17703077,曹默,12132979124,77,53,90,55,12
16727642,喻玲玲,12235780357,60,96,93,41,13
16884226,何芳国,15808282790,56,50,54,43,14
17651399,严诗玲,17413999315,62,58,89,82,15
16474286,孔诗,10311709908,78,84,55,93,16
16125889,水明,15048058873,92,70,40,92,17
17722416,王龙,16627622341,100,50,46,75,18
16289124,何欣,15425093862,63,89,71,94,19
16137437,曹玉,13591134423,79,43,75,46,20
16462289,华龙妍,14695317238,54,80,85,78,21
16759557,王龙,19845379613,61,84,41,45,22
16222863,秦刚,16812879449,90,88,90,55,23
16409620,戚靖,10502651140,65,91,51,54,24
17058963,水龙,16375245022,68,69,51,84,25
17802061,陶芳楠,17579544708,90,89,78,84,26
16691211,郑诗国,11748271608,85,91,82,95,27
16716947,秦默国,16748435711,75,93,100,80,28
16601832,喻玲,17613196893,50,78,81,44,29
16594220,王芳楠,17900881137,94,58,55,79,30
17697475,金玲,15374454903,100,62,43,45,31
16135182,曹欣楠,11432526215,87,94,63,94,32
17151708,金玉,15217414349,97,50,55,43,33
16236197,姜诗立,16740170633,70,73,77,68,34
16152762,施刚,18617550546,47,49,100,68,35
17157769,吕默妍,13366633841,79,98,54,51,36
17042354,王刚,14454087036,77,74,73,56,37
17584447,吕欣国,17172319153,84,53,91,42,38
16632354,张军,19218392627,95,84,53,46,39
17947787,张刚,13994927966,65,70,67,80,40
16682191,李芳涵,16504649562,50,85,64,72,41
17684485,何靖,12946544312,62,42,57,88,42
16834724,华欣,14955055520,100,96,99,42,43
16971628,姜欣玲,17213382707,62,89,90,56,44
17625830,喻诗,18827508570,100,96,79,83,45
16743874,柏龙,17472587188,73,64,77,73,46
16939187,何明涵,10663853545,98,54,63,91,47
16299591,谢玉立,17379967793,44,98,72,85,48
16899462,金靖国,19080049094,89,65,94,54,49
17613742,郑默凡,19757877789,96,72,93,41,50
17904427,谢龙立,14064392842,81,56,84,42,51
16651885,金玉妍,15382802766,96,88,100,84,52
16127773,窦芳,15390062494,75,58,74,68,53
17281488,窦玉国,15207534179,76,78,93,84,54
17301065,戚龙,16205407790,67,87,40,76,55
16727498,赵明涵,14590168583,80,40,58,96,56
16741913,金军玲,18143868122,66,76,75,81,57
16009574,陶明,18740517637,89,49,41,71,58
16853157,柏玉,19649618927,98,78,68,52,59
16964215,金靖,13552332467,92,90,95,60,60
16853686,陶诗,18873395717,93,74,62,42,61
17004373,金默,18563571377,41,67,40,51,62
16249699,华芳妍,16719662548,75,41,87,85,63
16119808,张玉,16376516479,88,96,83,40,64
17930939,郑欣国,12515832503,85,54,76,81,65
17027195,窦芳国,10561727685,95,52,74,64,66
16253331,李明凡,15173529778,69,49,83,93,67
16072463,吕芳,13378136444,71,67,41,51,68
16678906,严欣国,12721015342,67,76,48,88,69
16328126,谢龙,13623009971,86,92,52,84,70
17478338,秦芳,13351047675,73,47,86,74,71
16354091,何明涵,18314194206,85,100,94,98,72
17738316,金靖,13418273038,94,69,87,57,73
16181321,姜欣,19208781973,80,42,70,53,74
17608115,窦诗涵,12220168974,41,84,42,97,75
16165703,姜玲立,18954627067,78,62,43,57,76
17154601,张玉,10455354740,51,54,66,87,77
17261109,姜玉,12990789227,62,47,72,52,78
16602023,谢芳,18826873340,68,50,73,69,79
16446640,姜芳立,10596832019,81,45,63,73,80
17535459,张军玲,14872180701,61,66,93,100,81
16046398,王玉,13254256079,63,63,99,74,82
17808844,何芳,11779964982,54,74,57,94,83
16595780,张龙楠,17443929642,81,93,48,94,84
17505006,何玉,13646648383,90,84,48,63,85
17702977,华军,19525725988,88,76,83,73,86
16665473,何欣国,12864005987,49,85,99,79,87
17199790,姜玲,16776356783,54,67,83,40,88
17281451,姜诗妍,15162952601,41,84,68,77,89
16117417,喻欣楠,19832130684,60,96,95,71,90
16705757,邹诗,14130172607,66,62,61,71,91
16788157,秦龙,11589554591,74,96,55,64,92
16130478,王明,15477739839,65,48,59,46,93
17048622,金军涵,18886583714,43,46,97,47,94
16635812,水玲国,12947950407,42,50,89,58,95
17903563,张默,11719066073,84,71,56,94,96
16642207,曹刚,16139758206,92,46,60,57,97
16893982,李明国,18175275019,59,84,62,85,98
17374035,喻军妍,17311761436,65,85,73,88,99
17222848,窦玉立,17770436438,88,89,48,44,100
16639550,谢军,11176837037,45,60,61,59,101
17349455,窦明国,15670299666,93,100,41,92,102
17104398,李诗,14544896846,61,60,72,99,103
16375474,曹默,18119045913,85,89,94,86,104
17331515,华龙立,10947610465,51,48,66,52,105
17466383,水军,17202962187,51,45,51,100,106
16999729,柏默楠,13855727153,40,76,70,93,107
16037295,邹欣,12446865570,97,54,56,73,108
17306508,柏玲国,16057191809,70,61,55,93,109
16965869,秦靖,19796055137,71,85,53,52,110
17580357,何靖玲,17873662884,100,90,52,89,111
17645018,戚玲,17660140709,58,44,76,93,112
17416889,谢龙凡,15987943914,45,94,46,80,113
16894232,王玉妍,17025118520,86,52,76,88,114
16011377,严明凡,16595978653,66,93,65,41,115
17327253,水龙,10268241127,65,43,64,45,116
16775672,施刚立,18397544200,57,100,69,72,117
17761798,水明,14234075658,85,54,44,58,118
17231384,姜玲妍,17098180100,93,54,51,65,119
17547189,窦欣涵,10474249472,40,41,92,66,120
17523152,赵刚立,12148397540,51,58,96,43,121
17285241,姜军,13163044480,83,61,56,78,122
17285780,喻默立,18857958493,65,62,73,42,123
17481111,金军凡,18056068826,100,87,90,95,124
17525733,严诗涵,13561677478,86,93,94,53,125
16355098,邹玉国,13682658725,66,91,99,79,126
17347095,秦欣,15253570623,52,87,43,49,127
17090861,郑默楠,11645709184,84,79,92,60,128
16820928,邹玲,19366582179,96,49,79,77,129
16232785,王玉国,15829474241,89,68,65,44,130
17656820,吕刚,19262626509,86,62,87,80,131
17395378,姜靖,10646339414,55,88,58,70,132
16416338,金刚国,16897696186,64,81,75,85,133
16072955,姜玉涵,12738576945,75,81,88,76,134
17128185,姜诗,15375908984,73,52,50,98,135
16516364,窦欣国,15031052085,100,98,73,51,136
17577944,谢芳立,13327415575,81,61,45,90,137
17059971,吕靖立,18018737654,84,95,48,56,138
17256718,喻默楠,11661722911,54,92,50,98,139
16015522,张诗,12679995268,44,78,60,44,140
16229338,章玲国,12806369103,44,66,98,81,141
16546868,郑龙,11113998789,67,83,79,46,142
16740493,张玲楠,17476085565,71,71,54,49,143
17537576,赵芳涵,13079517271,51,79,49,78,144
17897031,金玲,12558627706,80,52,50,93,145
16564688,姜玉,14010537208,74,84,90,42,146
16745314,水玲国,19867583719,63,91,44,80,147
16553864,何靖国,16672353389,89,83,71,64,148
16453064,施芳,14548499779,87,50,59,47,149
17865836,金玉,13766254707,55,99,50,79,150
17821145,赵玉,13864301447,61,84,84,46,151
17308048,王欣凡,11883230135,92,79,88,68,152
17716728,水靖楠,18856512547,90,63,76,67,153
16465045,邹玉,13065567396,83,100,96,49,154
17918292,金龙国,16140079782,88,64,59,63,155
16018414,邹默涵,19869717843,74,98,70,55,156
16763454,吕欣,17088757821,91,43,42,83,157
17200119,张军,11966547461,58,66,49,87,158
17336479,吕刚妍,16333094501,93,76,76,67,159
17485686,姜默楠,16596401835,89,45,91,40,160
17273775,邹芳,17013137365,81,75,50,40,161
17117963,张玉楠,14939466957,59,69,49,69,162
17314120,赵欣,16368728668,44,82,56,45,163
17634905,喻欣立,13470523153,95,98,84,62,164
16103636,邹军,15912495888,57,58,87,98,165
16516405,张明,18927786643,45,52,75,96,166
16377521,姜刚,10673186399,63,47,79,44,167
17166689,姜欣玲,19745151665,98,96,94,69,168
16604414,金默,15539850108,40,85,63,75,169
17285892,柏玲,12484923879,46,69,41,80,170
16313488,孔欣凡,16888672049,67,95,76,73,171
16858158,郑玉,18751875092,71,82,100,86,172
17358924,孔诗,11589559866,62,92,94,94,173
16411551,孔玲国,14745995763,85,99,82,85,174
16075186,水玲,11334155406,59,62,72,44,175
16781204,王靖妍,12060152866,75,91,71,73,176
17867967,谢欣,11353043808,42,68,64,46,177
16849384,秦靖,14148568137,95,69,81,85,178
16829272,魏默涵,19719862576,75,67,72,96,179
16951064,曹欣,15790247142,62,71,84,83,180
17487592,李诗,14181703857,58,76,84,70,181
16833590,孔芳,15351090041,62,70,58,72,182
17172058,戚玉,10180855162,75,57,61,97,183
16977232,王玲国,17262239720,41,98,98,86,184
17472422,张玉,14122805358,65,73,93,59,185
17690122,吕刚立,14554108760,58,87,60,51,186
16808523,柏明,17202043662,64,42,47,84,187
16100011,吕靖,12136003367,40,88,43,64,188
17781410,戚军涵,18246795253,65,49,83,76,189
16451271,郑龙妍,11279614691,85,94,80,73,190
17545686,华龙,17349072991,44,84,100,72,191
16154276,孔玲国,14561347570,89,92,42,54,192
16656913,金靖,11593045058,77,69,96,60,193
17334422,施靖,12242726679,87,96,81,44,194
17173394,章明玲,10816495890,45,53,41,58,195
16398244,水龙立,19122629016,61,66,79,68,196
16218187,章靖凡,11841680827,79,47,59,82,197
16969944,王靖涵,14732820810,41,73,97,54,198
17860150,邹龙玲,13072383595,98,65,58,80,199
16691743,华芳,14531758015,52,63,86,96,200
17075617,章诗国,12850014215,62,61,91,91,201
17650482,秦玲立,15742749773,95,68,90,53,202
16475994,柏默,11537313398,93,79,90,45,203
16405349,水诗妍,11250547650,60,50,82,51,204
17570353,邹龙国,18212430747,52,71,94,48,205
17493274,何芳玲,13531662730,100,79,78,57,206
16432503,喻欣涵,17513121398,49,83,47,46,207
16808084,窦默立,10857231145,66,83,56,61,208
17305114,孔默楠,12747627831,48,48,79,54,209
16263391,魏玉涵,13382506102,45,94,95,69,210
16712552,陶诗,10221899104,84,89,48,46,211
17399514,吕欣立,16196216123,52,83,98,56,212
16061005,金龙妍,13980029115,68,49,44,99,213
17986936,何军,12210928000,50,46,87,61,214
17694698,水欣,11756758599,60,90,96,60,215
16487446,邹明妍,14401845705,93,56,77,93,216
17176307,张玉楠,18769905783,68,50,52,65,217
17833089,施军,17377356953,61,92,96,65,218
16120302,张欣涵,12074471229,65,81,91,55,219
17752121,张诗国,14788156191,55,47,88,87,220
17228423,孔明,16113339421,62,58,99,46,221
16743392,金玲楠,12130924911,73,75,61,58,222
16890091,陶玉玲,14020736287,62,61,56,95,223
16864213,戚诗玲,19313734029,80,73,98,77,224
17587090,严欣,10669580369,62,67,98,68,225
17490294,何明国,11721313676,76,94,92,82,226
16776216,王诗,10119972391,57,58,44,67,227
16441297,华明涵,17934356577,81,88,49,88,228
17867609,施龙,11189994120,45,63,69,50,229
16430221,王诗国,11001453187,94,67,73,95,230
17725706,金军,18953850539,84,45,69,86,231
16336870,章刚,10937271915,74,64,45,72,232
17432262,何军,17139253561,41,97,84,82,233
17372148,李玉,14490397900,84,77,75,55,234
17240722,曹刚,13880823585,97,42,46,100,235
17633785,章诗,13514898652,81,76,96,77,236
16558226,秦玉,14492907696,92,59,69,81,237
17351036,窦欣妍,12451235247,90,81,72,58,238
16807562,何玉妍,14654132541,45,41,52,80,239
16777353,陶明,14791451953,84,42,84,43,240
16432671,秦芳妍,15916904932,83,64,98,85,241
17603427,孔军玲,11206600488,72,85,64,79,242
16219934,王玲妍,11430033597,78,59,86,41,243
17171046,柏靖,13394062996,43,76,65,54,244
16609498,章欣,19585752396,66,98,68,61,245
17491099,戚玉,11702636537,81,56,80,72,246
16030873,柏靖,14023826744,86,55,94,89,247
16379810,张龙,19913587517,82,47,79,47,248
17688243,张玲玲,13498281673,54,89,59,62,249
17230716,陶明,16687049368,66,66,93,62,250
16942265,吕明妍,18493956860,94,90,52,43,251
16925941,秦芳,17578325734,76,42,79,70,252
17214256,戚欣妍,10959554860,72,47,64,92,253
17143017,郑欣国,12589480247,61,100,84,84,254
17526663,赵刚,17923828572,87,45,52,97,255
16397427,柏玉妍,11938132165,42,53,91,90,256
16661373,曹诗,18007708058,66,84,49,55,257
17450542,张玉妍,14654396543,87,57,88,77,258
16064015,张欣妍,10898409738,53,96,77,41,259
16453458,张默立,14890765176,94,91,54,76,260
17449396,姜龙,17861372756,81,100,49,70,261
16274722,水龙楠,14465454611,76,44,73,66,262
17441801,喻诗,10244775711,57,47,64,54,263
17038197,章默,18472411554,44,69,84,63,264
16787040,章芳,14497824360,60,47,97,71,265
16349563,严明凡,15751323972,86,51,81,85,266
17132170,施明凡,12346553744,54,63,55,41,267
16498452,窦龙,14473679523,47,40,44,87,268
16860772,王靖凡,11658688221,47,78,81,52,269
17199691,邹靖立,15530697423,45,86,98,46,270
16031170,王靖凡,11046786148,96,51,66,77,271
16718816,谢诗涵,10396725347,47,87,54,51,272
17046722,曹芳,15039968178,71,84,59,68,273
16879672,郑刚,16041147513,67,61,95,51,274
16583549,张军涵,12461243440,77,52,42,91,275
17511770,陶明立,14269285368,98,98,50,84,276
16255443,曹芳,12142916761,79,87,62,76,277
17023339,华刚妍,17144437787,44,86,88,77,278
17224228,谢默立,17192265504,97,78,58,54,279
17067301,何诗涵,10082859264,57,100,55,82,280
17181425,魏刚楠,12311588978,74,60,65,66,281
16169876,陶欣楠,13458536535,65,60,82,84,282
17020132,喻芳,12238206608,62,53,65,58,283
16486059,曹默,13298001242,40,41,48,47,284
17742387,何靖,17988667781,95,40,40,72,285
16849459,柏欣,17707029678,87,78,81,58,286
16852064,戚军,16375945963,76,76,55,50,287
16554913,张刚立,10512728335,42,64,87,96,288
17967145,谢默涵,16843057607,91,72,79,57,289
17192265,郑靖,15245506973,51,92,72,71,290
16559866,戚玲楠,14965683862,53,82,95,44,291
17193028,华军国,13840565150,77,65,100,89,292
16220297,金芳玲,15370731412,55,80,47,64,293
16422688,章芳玲,13657503945,65,64,67,62,294
17657804,郑欣,10432407256,81,72,49,74,295
16863460,水军玲,13180461740,89,98,54,60,296
17474927,李玲,15949898212,75,57,69,59,297
17220992,曹诗国,19472948871,66,43,54,42,298
17407432,郑刚妍,16708395734,85,41,50,50,299
16719069,章欣,16627114749,49,54,80,40,300
17440514,喻靖,12701277608,49,57,88,46,301
17247945,章诗玲,17852867737,84,89,64,91,302
16822470,邹玲,13457142110,77,68,40,69,303
17697050,李龙妍,16605291082,99,82,91,91,304
17954525,金诗,19256543973,59,46,97,46,305
17757503,郑诗涵,13138010125,61,74,69,88,306
16503767,柏明,12920390735,54,75,91,47,307
17720989,戚玉,16969077860,49,43,88,63,308
17690412,窦刚楠,12767662880,68,59,76,95,309
17576959,邹龙,14340452622,83,46,78,84,310
17724557,张玉,17243153462,94,91,65,78,311
16103971,水靖玲,14855509909,40,99,100,55,312
17279159,金玉,15298748644,52,65,58,47,313
16922223,严刚,10263764177,41,49,77,80,314
16357616,李芳国,18831073806,94,81,46,85,315
16244159,谢明,15848789131,67,89,40,74,316
16000834,金军,14020712914,54,91,48,61,317
17733939,柏玲,17872124283,44,44,60,72,318
17969386,何诗,19183313983,88,48,51,81,319
16836933,张芳玲,17676020922,46,90,90,49,320
16706756,吕靖,18000716269,85,47,76,74,321
16294203,严玉,19146923905,99,54,44,73,322
16507422,施芳,12766238140,64,88,99,82,323
16277452,邹芳,13541729735,50,60,75,98,324
16571386,窦欣,15716344088,83,59,76,75,325
16750514,何芳,19251168015,89,100,54,46,326
16975277,邹欣涵,10193824388,64,64,79,86,327
17329724,施玉,10592500636,99,56,66,41,328
17838303,李军国,18288136920,89,70,89,61,329
17534776,金玉,15047862775,49,75,100,80,330
17034396,水军楠,15212959780,48,70,50,94,331
16442425,水玲楠,13656933501,92,82,97,75,332
16193693,李刚,17891153248,55,63,100,79,333
17346203,秦芳凡,14494324081,77,47,50,90,334
17189848,郑芳,13955282705,71,83,43,63,335
17721414,柏明,10356231214,94,59,68,88,336
17312703,陶靖楠,16572452795,91,53,62,43,337
16851548,金欣,19387597903,99,73,83,43,338
17982508,王芳涵,14516474369,88,95,92,82,339
17703817,姜欣楠,13915142140,66,81,96,51,340
16392549,吕芳立,13868487597,45,87,95,48,341
17506058,何默,15493549356,60,70,45,75,342
17892389,窦诗楠,19234374691,88,73,61,46,343
